review,category_sentiment,category,sentiment,cleaned_review,tokenized_words
"Lumayan lah.. sangat terjangkau, namun perlu ada yg dibenahi soal kebersihan kasurnya. Kemarin saya mendapati kasurnya jorok, banyak helai rambur, sepertinya belum dibersihkan belum diganti seprei bekas pengunjung sebelumnya.",kebersihan-neg,kebersihan,neg,lumayan terjangkau yg dibenahi kebersihan kasurnya kemarin mendapati kasurnya jorok helai rambur dibersihkan diganti seprei bekas pengunjung,"['lumayan', 'terjangkau', 'yg', 'dibenahi', 'kebersihan', 'kasurnya', 'kemarin', 'mendapati', 'kasurnya', 'jorok', 'helai', 'rambur', 'dibersihkan', 'diganti', 'seprei', 'bekas', 'pengunjung']"
"Lumayan lah.. sangat terjangkau, namun perlu ada yg dibenahi soal kebersihan kasurnya. Kemarin saya mendapati kasurnya jorok, banyak helai rambur, sepertinya belum dibersihkan belum diganti seprei bekas pengunjung sebelumnya.",linen_P1-neg,linen_P1,neg,lumayan terjangkau yg dibenahi kebersihan kasurnya kemarin mendapati kasurnya jorok helai rambur dibersihkan diganti seprei bekas pengunjung,"['lumayan', 'terjangkau', 'yg', 'dibenahi', 'kebersihan', 'kasurnya', 'kemarin', 'mendapati', 'kasurnya', 'jorok', 'helai', 'rambur', 'dibersihkan', 'diganti', 'seprei', 'bekas', 'pengunjung']"
"kamar mandinya bau, dan lubang saluran air mampat dan penuh rambut sampai harus saya yang membersihkan. kurang meja kecil disamping tempat tidur. kamar agak kecil, tapi sangat nyaman.",bau_P1-neg,bau_P1,neg,kamar mandinya bau lubang saluran air mampat penuh rambut membersihkan meja disamping tidur kamar nyaman,"['kamar', 'mandinya', 'bau', 'lubang', 'saluran', 'air', 'mampat', 'penuh', 'rambut', 'membersihkan', 'meja', 'disamping', 'tidur', 'kamar', 'nyaman']"
"kamar mandinya bau, dan lubang saluran air mampat dan penuh rambut sampai harus saya yang membersihkan. kurang meja kecil disamping tempat tidur. kamar agak kecil, tapi sangat nyaman.",kebersihan-neg,kebersihan,neg,kamar mandinya bau lubang saluran air mampat penuh rambut membersihkan meja disamping tidur kamar nyaman,"['kamar', 'mandinya', 'bau', 'lubang', 'saluran', 'air', 'mampat', 'penuh', 'rambut', 'membersihkan', 'meja', 'disamping', 'tidur', 'kamar', 'nyaman']"
Dari segi fasilitas nya sekarang kurang dari kamar mandi nya showernya tidak ada pengikatnya. Dari pelayanannya sedikit lebih d tingkatkan lagi,service-neg,service,neg,segi fasilitas nya kamar mandi nya showernya pengikatnya pelayanannya d tingkatkan,"['segi', 'fasilitas', 'nya', 'kamar', 'mandi', 'nya', 'showernya', 'pengikatnya', 'pelayanannya', 'd', 'tingkatkan']"
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",ac_P1-neg,ac_P1,neg,kamarnya nyaman acnya berbunyilantai kamarnya bersih makanan unuk sarapannya enak terima kasih airy,"['kamarnya', 'nyaman', 'acnya', 'berbunyilantai', 'kamarnya', 'bersih', 'makanan', 'unuk', 'sarapannya', 'enak', 'terima', 'kasih', 'airy']"
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",kebersihan-neg,kebersihan,neg,kamarnya nyaman acnya berbunyilantai kamarnya bersih makanan unuk sarapannya enak terima kasih airy,"['kamarnya', 'nyaman', 'acnya', 'berbunyilantai', 'kamarnya', 'bersih', 'makanan', 'unuk', 'sarapannya', 'enak', 'terima', 'kasih', 'airy']"
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",sunrise_meal_P1-pos,sunrise_meal_P1,pos,kamarnya nyaman acnya berbunyilantai kamarnya bersih makanan unuk sarapannya enak terima kasih airy,"['kamarnya', 'nyaman', 'acnya', 'berbunyilantai', 'kamarnya', 'bersih', 'makanan', 'unuk', 'sarapannya', 'enak', 'terima', 'kasih', 'airy']"
agak bau rokok :),bau_P1-neg,bau_P1,neg,bau rokok,"['bau', 'rokok']"
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",sunrise_meal_P1-pos,sunrise_meal_P1,pos,emejing menginap airy sutoyo hotel dewarnaudah murah nyaman istirahatapalagi breakfastnya nikmat ga asalan harga murah kualitas murahantp yg diperbaiki cuman kebersihan kamar bersih klo ngepeloverall rekomen bgt,"['emejing', 'menginap', 'airy', 'sutoyo', 'hotel', 'dewarnaudah', 'murah', 'nyaman', 'istirahatapalagi', 'breakfastnya', 'nikmat', 'ga', 'asalan', 'harga', 'murah', 'kualitas', 'murahantp', 'yg', 'diperbaiki', 'cuman', 'kebersihan', 'kamar', 'bersih', 'klo', 'ngepeloverall', 'rekomen', 'bgt']"
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",kebersihan-neg,kebersihan,neg,emejing menginap airy sutoyo hotel dewarnaudah murah nyaman istirahatapalagi breakfastnya nikmat ga asalan harga murah kualitas murahantp yg diperbaiki cuman kebersihan kamar bersih klo ngepeloverall rekomen bgt,"['emejing', 'menginap', 'airy', 'sutoyo', 'hotel', 'dewarnaudah', 'murah', 'nyaman', 'istirahatapalagi', 'breakfastnya', 'nikmat', 'ga', 'asalan', 'harga', 'murah', 'kualitas', 'murahantp', 'yg', 'diperbaiki', 'cuman', 'kebersihan', 'kamar', 'bersih', 'klo', 'ngepeloverall', 'rekomen', 'bgt']"
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",general-pos,general,pos,emejing menginap airy sutoyo hotel dewarnaudah murah nyaman istirahatapalagi breakfastnya nikmat ga asalan harga murah kualitas murahantp yg diperbaiki cuman kebersihan kamar bersih klo ngepeloverall rekomen bgt,"['emejing', 'menginap', 'airy', 'sutoyo', 'hotel', 'dewarnaudah', 'murah', 'nyaman', 'istirahatapalagi', 'breakfastnya', 'nikmat', 'ga', 'asalan', 'harga', 'murah', 'kualitas', 'murahantp', 'yg', 'diperbaiki', 'cuman', 'kebersihan', 'kamar', 'bersih', 'klo', 'ngepeloverall', 'rekomen', 'bgt']"
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",linen_P1-neg,linen_P1,neg,kamar spt kos kos an handuk hot water parkir mobil sempit,"['kamar', 'spt', 'kos', 'kos', 'an', 'handuk', 'hot', 'water', 'parkir', 'mobil', 'sempit']"
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",air_panas_P1-neg,air_panas_P1,neg,kamar spt kos kos an handuk hot water parkir mobil sempit,"['kamar', 'spt', 'kos', 'kos', 'an', 'handuk', 'hot', 'water', 'parkir', 'mobil', 'sempit']"
"Sprei kasur dan handuk masih kurangp bersih tetapi,klo lebih bersih pasti tambah oke",linen_P1-neg,linen_P1,neg,sprei kasur handuk kurangp bersih tetapiklo bersih oke,"['sprei', 'kasur', 'handuk', 'kurangp', 'bersih', 'tetapiklo', 'bersih', 'oke']"
"Tidak ada layanan untuk menonton televisi. Yang lainnya memuaskan, oke.",tv_P1-neg,tv_P1,neg,layanan menonton televisi memuaskan oke,"['layanan', 'menonton', 'televisi', 'memuaskan', 'oke']"
"Tidak ada layanan untuk menonton televisi. Yang lainnya memuaskan, oke.",general-pos,general,pos,layanan menonton televisi memuaskan oke,"['layanan', 'menonton', 'televisi', 'memuaskan', 'oke']"
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,service-pos,service,pos,oke pelayanannyacuma handuknya bersih terima kasih,"['oke', 'pelayanannyacuma', 'handuknya', 'bersih', 'terima', 'kasih']"
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,linen_P1-neg,linen_P1,neg,oke pelayanannyacuma handuknya bersih terima kasih,"['oke', 'pelayanannyacuma', 'handuknya', 'bersih', 'terima', 'kasih']"
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",linen_P1-pos,linen_P1,pos,memuaskan sprei handuknya wangi kamarnya bersih nyaman ac air panasnya berfungsi saluran tv bermasalah memuaskan pengalaman airy gunung sahari terimakasih,"['memuaskan', 'sprei', 'handuknya', 'wangi', 'kamarnya', 'bersih', 'nyaman', 'ac', 'air', 'panasnya', 'berfungsi', 'saluran', 'tv', 'bermasalah', 'memuaskan', 'pengalaman', 'airy', 'gunung', 'sahari', 'terimakasih']"
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",kebersihan-pos,kebersihan,pos,memuaskan sprei handuknya wangi kamarnya bersih nyaman ac air panasnya berfungsi saluran tv bermasalah memuaskan pengalaman airy gunung sahari terimakasih,"['memuaskan', 'sprei', 'handuknya', 'wangi', 'kamarnya', 'bersih', 'nyaman', 'ac', 'air', 'panasnya', 'berfungsi', 'saluran', 'tv', 'bermasalah', 'memuaskan', 'pengalaman', 'airy', 'gunung', 'sahari', 'terimakasih']"
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",ac_P1-pos,ac_P1,pos,memuaskan sprei handuknya wangi kamarnya bersih nyaman ac air panasnya berfungsi saluran tv bermasalah memuaskan pengalaman airy gunung sahari terimakasih,"['memuaskan', 'sprei', 'handuknya', 'wangi', 'kamarnya', 'bersih', 'nyaman', 'ac', 'air', 'panasnya', 'berfungsi', 'saluran', 'tv', 'bermasalah', 'memuaskan', 'pengalaman', 'airy', 'gunung', 'sahari', 'terimakasih']"
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",air_panas_P1-pos,air_panas_P1,pos,memuaskan sprei handuknya wangi kamarnya bersih nyaman ac air panasnya berfungsi saluran tv bermasalah memuaskan pengalaman airy gunung sahari terimakasih,"['memuaskan', 'sprei', 'handuknya', 'wangi', 'kamarnya', 'bersih', 'nyaman', 'ac', 'air', 'panasnya', 'berfungsi', 'saluran', 'tv', 'bermasalah', 'memuaskan', 'pengalaman', 'airy', 'gunung', 'sahari', 'terimakasih']"
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",tv_P1-neg,tv_P1,neg,memuaskan sprei handuknya wangi kamarnya bersih nyaman ac air panasnya berfungsi saluran tv bermasalah memuaskan pengalaman airy gunung sahari terimakasih,"['memuaskan', 'sprei', 'handuknya', 'wangi', 'kamarnya', 'bersih', 'nyaman', 'ac', 'air', 'panasnya', 'berfungsi', 'saluran', 'tv', 'bermasalah', 'memuaskan', 'pengalaman', 'airy', 'gunung', 'sahari', 'terimakasih']"
baik dan selalu ingin kembali..cuma perbaiki wifi dan hot waternya utk kamar tertentu,wifi_P1-neg,wifi_P1,neg,kembalicuma perbaiki wifi hot waternya utk kamar,"['kembalicuma', 'perbaiki', 'wifi', 'hot', 'waternya', 'utk', 'kamar']"
baik dan selalu ingin kembali..cuma perbaiki wifi dan hot waternya utk kamar tertentu,air_panas_P1-neg,air_panas_P1,neg,kembalicuma perbaiki wifi hot waternya utk kamar,"['kembalicuma', 'perbaiki', 'wifi', 'hot', 'waternya', 'utk', 'kamar']"
"Cukup bagus,sesuai dengan tarif. Hanya air panas dari shower,tidak keluar pada pagi hari.Trus makanan sarapan pagi kurang enak",air_panas_P1-neg,air_panas_P1,neg,bagussesuai tarif air panas showertidak pagi haritrus makanan sarapan pagi enak,"['bagussesuai', 'tarif', 'air', 'panas', 'showertidak', 'pagi', 'haritrus', 'makanan', 'sarapan', 'pagi', 'enak']"
"Cukup bagus,sesuai dengan tarif. Hanya air panas dari shower,tidak keluar pada pagi hari.Trus makanan sarapan pagi kurang enak",sunrise_meal_P1-neg,sunrise_meal_P1,neg,bagussesuai tarif air panas showertidak pagi haritrus makanan sarapan pagi enak,"['bagussesuai', 'tarif', 'air', 'panas', 'showertidak', 'pagi', 'haritrus', 'makanan', 'sarapan', 'pagi', 'enak']"
kasur dan selimut agak kotor,linen_P1-neg,linen_P1,neg,kasur selimut kotor,"['kasur', 'selimut', 'kotor']"
sangat baik semua nya..hanya tdk ada air panas utk mandi..sdg di perbaiki..,air_panas_P1-neg,air_panas_P1,neg,nyahanya tdk air panas utk mandisdg perbaiki,"['nyahanya', 'tdk', 'air', 'panas', 'utk', 'mandisdg', 'perbaiki']"
sangat baik semua nya..hanya tdk ada air panas utk mandi..sdg di perbaiki..,general-pos,general,pos,nyahanya tdk air panas utk mandisdg perbaiki,"['nyahanya', 'tdk', 'air', 'panas', 'utk', 'mandisdg', 'perbaiki']"
AC nya parah. Berisik bersurara. Bikin gak bisa tidur sama sekali. Lokasi nya susah minta ampun ditemukan.,ac_P1-neg,ac_P1,neg,ac nya parah berisik bersurara bikin gak tidur lokasi nya susah ampun ditemukan,"['ac', 'nya', 'parah', 'berisik', 'bersurara', 'bikin', 'gak', 'tidur', 'lokasi', 'nya', 'susah', 'ampun', 'ditemukan']"
"Awal wifi bsgus, hari ke 2 wifi nya mati. Keseluruhanya ok",wifi_P1-neg,wifi_P1,neg,wifi bsgus wifi nya mati keseluruhanya ok,"['wifi', 'bsgus', 'wifi', 'nya', 'mati', 'keseluruhanya', 'ok']"
"Awal wifi bsgus, hari ke 2 wifi nya mati. Keseluruhanya ok",general-pos,general,pos,wifi bsgus wifi nya mati keseluruhanya ok,"['wifi', 'bsgus', 'wifi', 'nya', 'mati', 'keseluruhanya', 'ok']"
Penginapan ini cukup rensentatif dan sayangnya air panasnya tidak maksimal,air_panas_P1-neg,air_panas_P1,neg,penginapan rensentatif sayangnya air panasnya maksimal,"['penginapan', 'rensentatif', 'sayangnya', 'air', 'panasnya', 'maksimal']"
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",bau_P1-neg,bau_P1,neg,kamar bau selimut handuk kusam staffnya gak ramah kamar tdk sesuai ekspektasi sempit pengap breakfast kayak makanan kucing jd cari sarapan harga segitu gak worth it,"['kamar', 'bau', 'selimut', 'handuk', 'kusam', 'staffnya', 'gak', 'ramah', 'kamar', 'tdk', 'sesuai', 'ekspektasi', 'sempit', 'pengap', 'breakfast', 'kayak', 'makanan', 'kucing', 'jd', 'cari', 'sarapan', 'harga', 'segitu', 'gak', 'worth', 'it']"
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",linen_P1-neg,linen_P1,neg,kamar bau selimut handuk kusam staffnya gak ramah kamar tdk sesuai ekspektasi sempit pengap breakfast kayak makanan kucing jd cari sarapan harga segitu gak worth it,"['kamar', 'bau', 'selimut', 'handuk', 'kusam', 'staffnya', 'gak', 'ramah', 'kamar', 'tdk', 'sesuai', 'ekspektasi', 'sempit', 'pengap', 'breakfast', 'kayak', 'makanan', 'kucing', 'jd', 'cari', 'sarapan', 'harga', 'segitu', 'gak', 'worth', 'it']"
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",service-neg,service,neg,kamar bau selimut handuk kusam staffnya gak ramah kamar tdk sesuai ekspektasi sempit pengap breakfast kayak makanan kucing jd cari sarapan harga segitu gak worth it,"['kamar', 'bau', 'selimut', 'handuk', 'kusam', 'staffnya', 'gak', 'ramah', 'kamar', 'tdk', 'sesuai', 'ekspektasi', 'sempit', 'pengap', 'breakfast', 'kayak', 'makanan', 'kucing', 'jd', 'cari', 'sarapan', 'harga', 'segitu', 'gak', 'worth', 'it']"
"Kamar bau, selimut dan handuk kusam. Staffnya gak ramah. Kamar tdk sesuai ekspektasi, sempit dan pengap. Breakfast kayak makanan untuk kucing, jd cari sarapan di luar. Untuk harga segitu, gak worth it.",sunrise_meal_P1-neg,sunrise_meal_P1,neg,kamar bau selimut handuk kusam staffnya gak ramah kamar tdk sesuai ekspektasi sempit pengap breakfast kayak makanan kucing jd cari sarapan harga segitu gak worth it,"['kamar', 'bau', 'selimut', 'handuk', 'kusam', 'staffnya', 'gak', 'ramah', 'kamar', 'tdk', 'sesuai', 'ekspektasi', 'sempit', 'pengap', 'breakfast', 'kayak', 'makanan', 'kucing', 'jd', 'cari', 'sarapan', 'harga', 'segitu', 'gak', 'worth', 'it']"
"Lumayan bagus, hanya air showernya awal panas lama2 dingin",air_panas_P1-neg,air_panas_P1,neg,lumayan bagus air showernya panas dingin,"['lumayan', 'bagus', 'air', 'showernya', 'panas', 'dingin']"
"kecewa penjaganya Krn kita dtgnya udh malem dan msh ada kerjaan balik lagi ke hotel udh jam 11 malem,Krn kesiangan bangun jam 11. siang baru cari makan pas jam 12 lg mandi udh di gedor2 Ama penjaganya dengan muka asem dan ngk ramah pas kita bilg msh siap2 dulu dengan galaknya dia bilg 'jangan lama2 dan tuh org nungguin di depan kamar",service-neg,service,neg,kecewa penjaganya krn dtgnya udh malem msh kerjaan hotel udh jam malemkrn kesiangan bangun jam siang cari makan pas jam lg mandi udh gedor ama penjaganya muka asem ngk ramah pas bilg msh galaknya bilg tuh org nungguin kamar,"['kecewa', 'penjaganya', 'krn', 'dtgnya', 'udh', 'malem', 'msh', 'kerjaan', 'hotel', 'udh', 'jam', 'malemkrn', 'kesiangan', 'bangun', 'jam', 'siang', 'cari', 'makan', 'pas', 'jam', 'lg', 'mandi', 'udh', 'gedor', 'ama', 'penjaganya', 'muka', 'asem', 'ngk', 'ramah', 'pas', 'bilg', 'msh', 'galaknya', 'bilg', 'tuh', 'org', 'nungguin', 'kamar']"
"Lantai kamar mandi licin, Tidak disediakan shower cap, Pintu kamar mandi gagangnya berat/sulit diputar khawatir tidak bisa dibuka/terkunci dari dalam, Alangkah baiknya disediakan petunjuk arah kiblat di dalam kamar.",linen_P1-neg,linen_P1,neg,lantai kamar mandi licin disediakan shower cap pintu kamar mandi gagangnya beratsulit diputar khawatir dibukaterkunci alangkah baiknya disediakan petunjuk arah kiblat kamar,"['lantai', 'kamar', 'mandi', 'licin', 'disediakan', 'shower', 'cap', 'pintu', 'kamar', 'mandi', 'gagangnya', 'beratsulit', 'diputar', 'khawatir', 'dibukaterkunci', 'alangkah', 'baiknya', 'disediakan', 'petunjuk', 'arah', 'kiblat', 'kamar']"
"Lantai kamar mandi licin, Tidak disediakan shower cap, Pintu kamar mandi gagangnya berat/sulit diputar khawatir tidak bisa dibuka/terkunci dari dalam, Alangkah baiknya disediakan petunjuk arah kiblat di dalam kamar.",kebersihan-neg,kebersihan,neg,lantai kamar mandi licin disediakan shower cap pintu kamar mandi gagangnya beratsulit diputar khawatir dibukaterkunci alangkah baiknya disediakan petunjuk arah kiblat kamar,"['lantai', 'kamar', 'mandi', 'licin', 'disediakan', 'shower', 'cap', 'pintu', 'kamar', 'mandi', 'gagangnya', 'beratsulit', 'diputar', 'khawatir', 'dibukaterkunci', 'alangkah', 'baiknya', 'disediakan', 'petunjuk', 'arah', 'kiblat', 'kamar']"
"Pelayanan sudah baik,  tapi kamar mandi tidak bersih,  ada kerak di lantai dan toiletnya..  Cangkir teh juga ada kerak bekas teh.. Sarapan kurang sebanding dg harganya..",kebersihan-neg,kebersihan,neg,pelayanan kamar mandi bersih kerak lantai toiletnya cangkir teh kerak bekas teh sarapan sebanding dg harganya,"['pelayanan', 'kamar', 'mandi', 'bersih', 'kerak', 'lantai', 'toiletnya', 'cangkir', 'teh', 'kerak', 'bekas', 'teh', 'sarapan', 'sebanding', 'dg', 'harganya']"
"Pelayanan sudah baik,  tapi kamar mandi tidak bersih,  ada kerak di lantai dan toiletnya..  Cangkir teh juga ada kerak bekas teh.. Sarapan kurang sebanding dg harganya..",sunrise_meal_P1-neg,sunrise_meal_P1,neg,pelayanan kamar mandi bersih kerak lantai toiletnya cangkir teh kerak bekas teh sarapan sebanding dg harganya,"['pelayanan', 'kamar', 'mandi', 'bersih', 'kerak', 'lantai', 'toiletnya', 'cangkir', 'teh', 'kerak', 'bekas', 'teh', 'sarapan', 'sebanding', 'dg', 'harganya']"
"Pelayanan sudah baik,  tapi kamar mandi tidak bersih,  ada kerak di lantai dan toiletnya..  Cangkir teh juga ada kerak bekas teh.. Sarapan kurang sebanding dg harganya..",service-pos,service,pos,pelayanan kamar mandi bersih kerak lantai toiletnya cangkir teh kerak bekas teh sarapan sebanding dg harganya,"['pelayanan', 'kamar', 'mandi', 'bersih', 'kerak', 'lantai', 'toiletnya', 'cangkir', 'teh', 'kerak', 'bekas', 'teh', 'sarapan', 'sebanding', 'dg', 'harganya']"
"Lampu remang-remang, kamar mandi kotor, menginap 10 hari tapi hanya diberikan peralatan mandi sekali saja saat pertama masuk.",kebersihan-neg,kebersihan,neg,lampu remangremang kamar mandi kotor menginap peralatan mandi masuk,"['lampu', 'remangremang', 'kamar', 'mandi', 'kotor', 'menginap', 'peralatan', 'mandi', 'masuk']"
"Lampu remang-remang, kamar mandi kotor, menginap 10 hari tapi hanya diberikan peralatan mandi sekali saja saat pertama masuk.",linen_P1-neg,linen_P1,neg,lampu remangremang kamar mandi kotor menginap peralatan mandi masuk,"['lampu', 'remangremang', 'kamar', 'mandi', 'kotor', 'menginap', 'peralatan', 'mandi', 'masuk']"
"pelayanan baik, kebersihan kamar baik, hanya kelengkapannya saja tdk tersedianya thermos utk ait panas ataupun memasak air panas, selebihnya baik.",service-pos,service,pos,pelayanan kebersihan kamar kelengkapannya tdk tersedianya thermos utk ait panas memasak air panas selebihnya,"['pelayanan', 'kebersihan', 'kamar', 'kelengkapannya', 'tdk', 'tersedianya', 'thermos', 'utk', 'ait', 'panas', 'memasak', 'air', 'panas', 'selebihnya']"
"pelayanan baik, kebersihan kamar baik, hanya kelengkapannya saja tdk tersedianya thermos utk ait panas ataupun memasak air panas, selebihnya baik.",kebersihan-pos,kebersihan,pos,pelayanan kebersihan kamar kelengkapannya tdk tersedianya thermos utk ait panas memasak air panas selebihnya,"['pelayanan', 'kebersihan', 'kamar', 'kelengkapannya', 'tdk', 'tersedianya', 'thermos', 'utk', 'ait', 'panas', 'memasak', 'air', 'panas', 'selebihnya']"
